name;gender;age;edu_level;fav_animals;sweet_or_salty;fav_place
Anastazja;Female;<18;Primary;No preferences;No data;No data
Ignacy;Male;25-34;Primary;Dogs;Sweet;Lake
Dominik;Male;45-54;Primary;Dogs;Salty;Forest
Jakub;Male;35-44;Primary;Cats;Sweet;Mountains
Konstanty;Male;35-44;Primary;Dogs;Sweet;Lake
Maksymilian;Male;25-34;Primary;Dogs;No data;Forest
Igor;Male;25-34;Primary;Cats;Sweet;Mountains
Konrad;Male;25-34;Primary;No preferences;Sweet;Mountains
Eliza;Female;45-54;Primary;Dogs;Sweet;Mountains
Tymoteusz;Male;18-24;Primary;Cats;Salty;Mountains
Fabian;Male;35-44;Primary;No preferences;No data;Mountains
Kornelia;Female;25-34;Primary;Dogs;Sweet;Forest
Dariusz;Male;35-44;Primary;Dogs;Sweet;Lake
Eryk;Male;35-44;Primary;Other;Sweet;Mountains
Kacper;Male;45-54;Primary;Other;No data;Lake
Konstanty;Male;35-44;Primary;Cats;Sweet;Lake
Norbert;Male;>=65;Primary;No preferences;Sweet;No data
Grzegorz;Male;45-54;Primary;Dogs;Salty;Mountains
Eryk;Male;35-44;Primary;Cats;Sweet;No data
Ada;Female;45-54;Primary;Cats and Dogs;Salty;Lake
Maksymilian;Male;35-44;Primary;Dogs;Salty;Lake
Kaja;Female;>=65;Primary;No preferences;Salty;Forest
Filip;Male;35-44;Primary;Dogs;Sweet;Lake
Emil;Male;35-44;Primary;Dogs;Sweet;Lake
Oliwier;Male;45-54;Primary;Dogs;Sweet;Lake
Jerzy;Male;45-54;Primary;Dogs;Salty;Forest
Tymoteusz;Male;35-44;Primary;Cats;Sweet;Mountains
Borys;Male;35-44;Primary;Cats;Salty;Mountains
Nicole;Female;25-34;Primary;Cats;Salty;Mountains
Maurycy;Male;25-34;Primary;Cats;Sweet;Mountains
Ryszard;Male;55-64;Primary;Other;No data;No data
Anastazja;Female;35-44;Primary;Dogs;Sweet;Lake
Karol;Male;35-44;Primary;Cats;Sweet;Lake
Julian;Male;25-34;Primary;Other;Sweet;Other
Albert;Male;45-54;Primary;Cats;Salty;Other
Borys;Male;25-34;Primary;Dogs;Salty;Lake
Patryk;Male;25-34;Primary;Other;Salty;Mountains
Damian;Male;35-44;Primary;No preferences;Sweet;Lake
Sebastian;Male;45-54;Primary;Dogs;No data;Mountains
Łukasz;Male;25-34;Primary;Dogs;Sweet;Mountains
Oskar;Male;45-54;Primary;Cats;Sweet;Forest
Leon;Male;35-44;Primary;Dogs;Salty;Mountains
Adam;Male;35-44;Primary;No preferences;Sweet;Forest
Karina;Female;35-44;Primary;Dogs;Salty;Lake
Dorota;Female;45-54;Primary;Dogs;Sweet;Lake
Patryk;Male;45-54;Primary;Dogs;Sweet;Lake
Kazimierz;Male;35-44;Primary;Other;Salty;Mountains
Tola;Female;45-54;Primary;Dogs;Sweet;Lake
Cyprian;Male;Unknown;Primary;No preferences;No data;No data
